date,temp_c
2015-08-13,21.452997
2015-08-14,22.794022
2015-08-15,23.79827
2015-08-16,24.531267
2015-08-17,24.924353
2015-08-18,24.122766
2015-08-19,24.021011
2015-08-20,22.500158
2015-08-21,21.17763
2015-08-22,21.03753
2015-08-23,22.005651
2015-08-24,21.545626
2015-08-25,19.768772
2015-08-26,18.974365
2015-08-27,19.054296
2015-08-28,19.881187
2015-08-29,21.910368
2015-08-30,23.137247
2015-08-31,24.150536
2015-09-01,24.869211
2015-09-02,25.181952
2015-09-03,25.371042
2015-09-04,25.219421
2015-09-05,24.47785
2015-09-06,24.565714
2015-09-07,25.193367
2015-09-08,25.596102
2015-09-09,24.25537
2015-09-10,21.984655
2015-09-11,19.973707
2015-09-12,17.249933
2015-09-13,15.584588
2015-09-14,16.580215
2015-09-15,19.197573
2015-09-16,20.413183
2015-09-17,21.155878
2015-09-18,21.80455
2015-09-19,21.528137
2015-09-20,18.172377
2015-09-21,16.828758
2015-09-22,18.078167
2015-09-23,19.077085
2015-09-24,19.419037
2015-09-25,19.327888
2015-09-26,18.724642
2015-09-27,19.15602
2015-09-28,20.878355
2015-09-29,21.251268
2015-09-30,18.248055
2015-10-01,14.382721
2015-10-02,12.618778
2015-10-03,10.776451
2015-10-04,13.534747
2015-10-05,15.711578
2015-10-06,16.706005
2015-10-07,17.705202
2015-10-08,17.791496
2015-10-09,18.107542
2015-10-10,13.88005
2015-10-11,13.764993
2015-10-12,16.742983
2015-10-13,16.256706
2015-10-14,13.949501
2015-10-15,12.850322
2015-10-16,12.245834
2015-10-17,7.7381644
2015-10-18,5.9158974
2015-10-19,8.069245
2015-10-20,13.81808
2015-10-21,15.43419
2015-10-22,16.856436
2015-10-23,15.252688
2015-10-24,15.021083
2015-10-25,13.609065
2015-10-26,10.561806
2015-10-27,10.537815
2015-10-28,14.148011
2015-10-29,12.502149
2015-10-30,8.899648
2015-10-31,9.012071
2015-11-01,13.288651
2015-11-02,13.387891
2015-11-03,13.857617
2015-11-04,15.835457
2015-11-05,17.928696
2015-11-06,17.435268
2015-11-07,12.079228
2015-11-08,7.7314963
2015-11-09,6.6526628
2015-11-10,9.907126
2015-11-11,10.493062
2015-11-12,11.7034445
2015-11-13,9.475652
2015-11-14,6.4160385
2015-11-15,8.666266
2015-11-16,9.934872
2015-11-17,11.430505
2015-11-18,14.071019
2015-11-19,13.102608
2015-11-20,7.218635
2015-11-21,4.9513326
2015-11-22,1.819878
2015-11-23,0.7526733
2015-11-24,3.286255
2015-11-25,6.356121
2015-11-26,11.138382
2015-11-27,12.175479
2015-11-28,9.014496
2015-11-29,6.34977
2015-11-30,5.1544166
2015-12-01,8.185081
2015-12-02,6.945604
2015-12-03,4.1401744
2015-12-04,3.1424935
2015-12-05,2.7958028
2015-12-06,3.713518
2015-12-07,5.1209054
2015-12-08,5.752014
2015-12-09,7.3336253
2015-12-10,9.561475
2015-12-11,10.7718935
2015-12-12,14.629144
2015-12-13,15.236209
2015-12-14,14.226064
2015-12-15,10.08309
2015-12-16,8.251477
2015-12-17,7.1083846
2015-12-18,2.5785582
2015-12-19,-0.23565869
2015-12-20,1.9328896
2015-12-21,7.645075
2015-12-22,10.560554
2015-12-23,12.826599
2015-12-24,13.288953
2015-12-25,10.946307
2015-12-26,9.975814
2015-12-27,11.650704
2015-12-28,5.7788653
2015-12-29,6.500196
2015-12-30,5.0316715
2015-12-31,3.7433383
2016-01-01,0.9588043
2016-01-02,0.5139006
2016-01-03,1.293249
2016-01-04,-1.0352423
2016-01-05,-4.9542136
2016-01-06,-2.1296928
2016-01-07,1.7657455
2016-01-08,4.402484
2016-01-09,6.6798253
2016-01-10,2.5947268
2016-01-11,-5.5104537
2016-01-12,-2.467386
2016-01-13,-6.9329276
2016-01-14,0.77515346
2016-01-15,5.3459435
2016-01-16,2.538223
2016-01-17,-2.6028874
2016-01-18,-9.890769
2016-01-19,-10.061626
2016-01-20,-6.8065963
2016-01-21,-5.3826566
2016-01-22,-4.784666
2016-01-23,-3.837757
2016-01-24,-4.0949416
2016-01-25,-0.36445352
2016-01-26,3.7181375
2016-01-27,1.0463091
2016-01-28,0.39420843
2016-01-29,1.3144621
2016-01-30,2.9542854
2016-01-31,9.307621
2016-02-01,8.217835
2016-02-02,5.527027
2016-02-03,8.956271
2016-02-04,3.685918
2016-02-05,0.33202884
2016-02-06,0.8435421
2016-02-07,3.2842925
2016-02-08,2.454502
2016-02-09,-2.1514642
2016-02-10,-5.162343
2016-02-11,-6.525814
2016-02-12,-5.832867
2016-02-13,-8.197625
2016-02-14,-9.761478
2016-02-15,-4.1669025
2016-02-16,1.5921994
2016-02-17,1.3561136
2016-02-18,0.3062768
2016-02-19,5.254544
2016-02-20,11.375565
2016-02-21,9.673324
2016-02-22,5.0796676
2016-02-23,4.38939
2016-02-24,5.967602
2016-02-25,4.098232
2016-02-26,0.47091064
2016-02-27,1.6800741
2016-02-28,9.052012
2016-02-29,9.57742
2016-03-01,6.5415916
2016-03-02,1.2149613
2016-03-03,-0.15439983
2016-03-04,1.0050194
2016-03-05,2.1048272
2016-03-06,3.725416
2016-03-07,9.121357
2016-03-08,14.81309
2016-03-09,15.528816
2016-03-10,15.019649
2016-03-11,11.761136
2016-03-12,10.756732
2016-03-13,13.075347
2016-03-14,12.647583
2016-03-15,12.8979645
2016-03-16,14.22697
2016-03-17,11.634763
2016-03-18,9.056613
2016-03-19,5.5646167
2016-03-20,3.221514
2016-03-21,3.8183467
2016-03-22,7.990353
2016-03-23,13.657387
2016-03-24,13.827209
2016-03-25,8.992529
2016-03-26,7.2161446
2016-03-27,11.04393
2016-03-28,10.151445
2016-03-29,8.352755
2016-03-30,9.750041
2016-03-31,15.646423
2016-04-01,14.271939
2016-04-02,9.030739
2016-04-03,5.1108155
2016-04-04,9.936837
